,"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),wind_speed (m\/s),total_precipitation (mm of water equivalent)
2022-12-31 19:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,9.78,3.22,0.68
2022-12-31 20:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,10.29,3.45,1.38
2022-12-31 21:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,10.39,2.94,2.06
2022-12-31 22:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,10.19,3.17,1.49
2022-12-31 23:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,10.18,3.15,0.42
2023-01-01 00:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,10.27,3.05,0.14
2023-01-01 01:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,10.1,3.49,0.02
2023-01-01 02:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,10.07,4.11,0.03
2023-01-01 03:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,9.94,4.41,0.0
2023-01-01 04:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,9.36,4.45,0.0
2023-01-01 05:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,8.62,3.89,0.0
2023-01-01 06:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,8.86,3.72,0.0
2023-01-01 07:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,8.69,3.61,0.0
2023-01-01 08:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,9.0,3.33,0.0
2023-01-01 09:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,10.07,3.39,0.0
2023-01-01 10:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,11.17,3.72,0.0
2023-01-01 11:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,11.25,4.08,0.0
2023-01-01 12:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,9.93,3.99,0.0
2023-01-01 13:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,10.06,4.17,0.0
2023-01-01 14:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,10.04,3.43,0.0
2023-01-01 15:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,9.66,2.54,0.0
2023-01-01 16:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,8.87,2.83,0.0
2023-01-01 17:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,9.07,2.25,0.0
2023-01-01 18:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,7.42,2.03,0.0
2023-01-01 19:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,6.39,2.34,0.0
2023-01-01 20:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,6.13,2.58,0.0
2023-01-01 21:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,5.99,2.67,0.0
2023-01-01 22:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,5.7,2.67,0.0
2023-01-01 23:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,5.5,2.28,0.0
2023-01-02 00:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,5.43,2.36,0.0
2023-01-02 01:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,5.51,2.45,0.0
2023-01-02 02:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,5.37,2.78,0.0
2023-01-02 03:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,4.98,2.71,0.0
2023-01-02 04:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,4.38,2.63,0.0
2023-01-02 05:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,2.85,2.75,0.0
2023-01-02 06:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,2.56,2.65,0.0
2023-01-02 07:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,3.0,2.45,0.0
2023-01-02 08:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,2.98,2.52,0.0
2023-01-02 09:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,4.07,2.14,0.0
2023-01-02 10:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,7.52,1.34,0.0
2023-01-02 11:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,8.53,1.2,0.0
2023-01-02 12:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,10.07,1.53,0.0
2023-01-02 13:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,10.72,1.52,0.0
2023-01-02 14:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,11.37,1.79,0.0
2023-01-02 15:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,11.06,2.32,0.0
2023-01-02 16:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,11.9,2.22,0.0
2023-01-02 17:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,9.78,2.35,0.0
2023-01-02 18:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,9.43,2.73,0.01
2023-01-02 19:00:00,"(40.6501, -73.9496)",era5,13.36,-5.0,9.01,2.95,0.02
