Time Stamp,Load,normalized_load,"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),wind_speed (m\/s),total_precipitation (mm of water equivalent)
2023-01-01 00:00:00,10910.7276,2.808640496855628,"(40.6501, -73.9496)",era5,13.36,-5.0,10.27,3.05,0.14
2023-01-01 01:00:00,10557.5032,2.5453334320293894,"(40.6501, -73.9496)",era5,13.36,-5.0,10.1,3.49,0.02
2023-01-01 02:00:00,10333.9615,2.378696843805961,"(40.6501, -73.9496)",era5,13.36,-5.0,10.07,4.11,0.03
2023-01-01 03:00:00,10180.1047,2.264006062502185,"(40.6501, -73.9496)",era5,13.36,-5.0,9.94,4.41,0.0
2023-01-01 04:00:00,10151.086,2.2423744064725524,"(40.6501, -73.9496)",era5,13.36,-5.0,9.36,4.45,0.0
2023-01-01 05:00:00,10325.2543,2.3722061617498658,"(40.6501, -73.9496)",era5,13.36,-5.0,8.62,3.89,0.0
2023-01-01 06:00:00,10604.527,2.5803867826896956,"(40.6501, -73.9496)",era5,13.36,-5.0,8.86,3.72,0.0
2023-01-01 07:00:00,10965.9169,2.849780725539759,"(40.6501, -73.9496)",era5,13.36,-5.0,8.69,3.61,0.0
2023-01-01 08:00:00,11208.3484,3.030498497829618,"(40.6501, -73.9496)",era5,13.36,-5.0,9.0,3.33,0.0
2023-01-01 09:00:00,11471.2067,3.226443193151388,"(40.6501, -73.9496)",era5,13.36,-5.0,10.07,3.39,0.0
2023-01-01 10:00:00,11459.5417,3.2177476531173523,"(40.6501, -73.9496)",era5,13.36,-5.0,11.17,3.72,0.0
2023-01-01 11:00:00,11937.4921,3.5740302795625434,"(40.6501, -73.9496)",era5,13.36,-5.0,11.25,4.08,0.0
2023-01-01 12:00:00,12351.7868,3.8828614968568957,"(40.6501, -73.9496)",era5,13.36,-5.0,9.93,3.99,0.0
2023-01-01 13:00:00,12262.7134,3.8164627556937893,"(40.6501, -73.9496)",era5,13.36,-5.0,10.06,4.17,0.0
2023-01-01 14:00:00,12370.1942,3.896583081393758,"(40.6501, -73.9496)",era5,13.36,-5.0,10.04,3.43,0.0
2023-01-01 15:00:00,12588.9538,4.059654908194403,"(40.6501, -73.9496)",era5,13.36,-5.0,9.66,2.54,0.0
2023-01-01 16:00:00,13222.8279,4.53216906276689,"(40.6501, -73.9496)",era5,13.36,-5.0,8.87,2.83,0.0
2023-01-01 17:00:00,13788.615099999999,4.953928621133344,"(40.6501, -73.9496)",era5,13.36,-5.0,9.07,2.25,0.0
2023-01-01 18:00:00,13628.708200000001,4.834727862396228,"(40.6501, -73.9496)",era5,13.36,-5.0,7.42,2.03,0.0
2023-01-01 19:00:00,13308.1409,4.595764657016667,"(40.6501, -73.9496)",era5,13.36,-5.0,6.39,2.34,0.0
2023-01-01 20:00:00,12944.769,4.3248932550712365,"(40.6501, -73.9496)",era5,13.36,-5.0,6.13,2.58,0.0
2023-01-01 21:00:00,12448.1664,3.95470656074582,"(40.6501, -73.9496)",era5,13.36,-5.0,5.99,2.67,0.0
2023-01-01 22:00:00,11860.2216,3.516429874401813,"(40.6501, -73.9496)",era5,13.36,-5.0,5.7,2.67,0.0
2023-01-01 23:00:00,11347.3381,3.1341067704973034,"(40.6501, -73.9496)",era5,13.36,-5.0,5.5,2.28,0.0
2023-01-02 00:00:00,10956.1947,2.8425334234121205,"(40.6501, -73.9496)",era5,13.36,-5.0,5.43,2.36,0.0
2023-01-02 01:00:00,10589.225699999999,2.568980604659452,"(40.6501, -73.9496)",era5,13.36,-5.0,5.51,2.45,0.0
2023-01-02 02:00:00,10415.325499999999,2.439348701442416,"(40.6501, -73.9496)",era5,13.36,-5.0,5.37,2.78,0.0
2023-01-02 03:00:00,10368.718499999999,2.4046060495464636,"(40.6501, -73.9496)",era5,13.36,-5.0,4.98,2.71,0.0
2023-01-02 04:00:00,10476.6231,2.485042292080245,"(40.6501, -73.9496)",era5,13.36,-5.0,4.38,2.63,0.0
2023-01-02 05:00:00,10770.9466,2.7044423587075372,"(40.6501, -73.9496)",era5,13.36,-5.0,2.85,2.75,0.0
2023-01-02 06:00:00,11259.1363,3.0683577535256816,"(40.6501, -73.9496)",era5,13.36,-5.0,2.56,2.65,0.0
2023-01-02 07:00:00,11774.5018,3.452531035772624,"(40.6501, -73.9496)",era5,13.36,-5.0,3.0,2.45,0.0
2023-01-02 08:00:00,12143.6327,3.7276954180057538,"(40.6501, -73.9496)",era5,13.36,-5.0,2.98,2.52,0.0
2023-01-02 09:00:00,12410.8697,3.9269041648617735,"(40.6501, -73.9496)",era5,13.36,-5.0,4.07,2.14,0.0
2023-01-02 10:00:00,12687.0383,4.132770870171972,"(40.6501, -73.9496)",era5,13.36,-5.0,7.52,1.34,0.0
2023-01-02 11:00:00,12657.5907,4.110819495572207,"(40.6501, -73.9496)",era5,13.36,-5.0,8.53,1.2,0.0
