iter	Logloss
0	0.680185678
1	0.6678792415
2	0.6564835076
3	0.6463346313
4	0.6367782897
5	0.6274258159
6	0.6189702964
7	0.6110938357
8	0.6032607312
9	0.5964410544
10	0.5896865862
11	0.5835602642
12	0.5782862505
13	0.5727375658
14	0.5677916094
15	0.5631648761
16	0.5587359322
17	0.5547016789
18	0.5512361897
19	0.5474102986
20	0.5438377345
21	0.5408030835
22	0.5374719439
23	0.5348232449
24	0.5323186133
25	0.5299095771
26	0.5272361365
27	0.5244400563
28	0.5226242768
29	0.5205201972
30	0.5185726797
31	0.5169639939
32	0.5151279227
33	0.5134410903
34	0.5118062459
35	0.5102276116
36	0.5088330518
37	0.50741499
38	0.5060077758
39	0.504673866
40	0.5034511961
41	0.502180834
42	0.5011437663
43	0.5001098941
44	0.4989224458
45	0.4980386262
46	0.4969970043
47	0.4962281913
48	0.4954522983
49	0.494386255
50	0.4936074905
51	0.492996251
52	0.4923541293
53	0.4916298945
54	0.4908837267
55	0.4901349656
56	0.48943281
57	0.4888988739
58	0.4882495777
59	0.4874846056
60	0.4868207518
61	0.4861897484
62	0.4854743984
63	0.484645733
64	0.4837076631
65	0.4831992598
66	0.4825235177
67	0.4820053422
68	0.4814779222
69	0.4810804906
70	0.4804719111
71	0.4797230988
72	0.4789285672
73	0.478453728
74	0.477848379
75	0.4773220806
76	0.476988147
77	0.4763942854
78	0.4759596566
79	0.4755584686
80	0.4751243936
81	0.4747848789
82	0.4742921772
83	0.4739536347
84	0.4736005807
85	0.4730292118
86	0.4727507303
87	0.4724183571
88	0.4719070122
89	0.4716196399
90	0.4712291079
91	0.4708299996
92	0.4702168158
93	0.4699575925
94	0.4695229122
95	0.4691022139
96	0.4688390297
97	0.4684588428
98	0.4680299598
99	0.4675985017
100	0.4673304742
101	0.4669430258
102	0.4666192627
103	0.4663483422
104	0.4660144407
105	0.4658518732
106	0.4654704004
107	0.465035661
108	0.4648344243
109	0.4643520431
110	0.4640476608
111	0.4635485821
112	0.4632602009
113	0.4629032701
114	0.4626269344
115	0.4624802766
116	0.4619542116
117	0.461605798
118	0.4614251364
119	0.4612429366
120	0.4607733023
121	0.4604104579
122	0.4601538159
123	0.4598685237
124	0.4596044023
125	0.4593955728
126	0.4591466003
127	0.4588581314
128	0.4584509012
129	0.4580908201
130	0.4577342615
131	0.457333979
132	0.4568995376
133	0.4564108391
134	0.4561296174
135	0.455675063
136	0.4553676781
137	0.4551579325
138	0.4546549292
139	0.4543842242
140	0.4540128673
141	0.4537670338
142	0.4533539955
143	0.4531540719
144	0.4529245549
145	0.4526128408
146	0.4523610879
147	0.4521343947
148	0.4516421297
149	0.4513626218
150	0.4509279859
151	0.4506287247
152	0.4503151555
153	0.4500702183
154	0.4497806917
155	0.4495909652
156	0.4493538572
157	0.4489488118
158	0.448648641
159	0.4482407117
160	0.4480374492
161	0.4476564495
162	0.4475468305
163	0.4471155203
164	0.4467391118
165	0.4465125313
166	0.4463238594
167	0.4461729868
168	0.4457035821
169	0.4454899498
170	0.4450839192
171	0.4447960902
172	0.4445107
173	0.4441414384
174	0.4438100147
175	0.4435818753
176	0.4430910285
177	0.4428911767
178	0.442695843
179	0.4424295834
180	0.442246075
181	0.4420575598
182	0.4417794952
183	0.4415356097
184	0.4412176305
185	0.4410269365
186	0.4407454369
187	0.4405081502
188	0.4402415764
189	0.4400628774
190	0.439821349
191	0.4396117515
192	0.439359016
193	0.4391673055
194	0.4387993776
195	0.438437752
196	0.4382560246
197	0.4379327069
198	0.4377545316
199	0.4376561927
200	0.4373731425
201	0.4372101617
202	0.4371007036
203	0.4367715882
204	0.4365021817
205	0.4362884845
206	0.4358911655
207	0.4355754187
208	0.4354504616
209	0.4353414934
210	0.4350571414
211	0.4346605518
212	0.4344747182
213	0.4342671803
214	0.4338841492
215	0.4337306635
216	0.4335901366
217	0.4332930662
218	0.4329664729
219	0.4328312691
220	0.4326266982
221	0.4324191244
222	0.4318620551
223	0.431562158
224	0.4312782521
225	0.431060412
226	0.4309213292
227	0.430663876
228	0.4305021647
229	0.4300885809
230	0.4299621634
231	0.4297103296
232	0.4293588758
233	0.4291624244
234	0.429003322
235	0.4285549313
236	0.4284000228
237	0.428225995
238	0.4280432911
239	0.4277711355
240	0.4275146926
241	0.4273157176
242	0.4270913475
243	0.4269088351
244	0.4266192344
245	0.4261845313
246	0.4260073175
247	0.4257915207
248	0.4256288472
249	0.4253804086
250	0.4250558796
251	0.4247937141
252	0.4246793792
253	0.4244813615
254	0.4243414958
255	0.4240885715
256	0.4237663465
257	0.4235425831
258	0.423269428
259	0.4229275163
260	0.4226492589
261	0.4225062213
262	0.4222997281
263	0.4217707254
264	0.4215965371
265	0.4213831599
266	0.4211539786
267	0.4209635235
268	0.4206022822
269	0.4203204324
270	0.4200572413
271	0.41974991
272	0.4193923503
273	0.4192801276
274	0.4190504923
275	0.4187466354
276	0.4185119872
277	0.4181727528
278	0.4179614218
279	0.4175837862
280	0.4173256212
281	0.4171448035
282	0.4170087268
283	0.416857313
284	0.4165279718
285	0.4162626609
286	0.4158644352
287	0.4156605978
288	0.4154621925
289	0.4152831522
290	0.4150484543
291	0.4148963307
292	0.4145367798
293	0.4142665066
294	0.4140496188
295	0.4137459384
296	0.4134869261
297	0.4133310392
298	0.412986458
299	0.4127862222
300	0.412622576
301	0.4124858756
302	0.4123118569
303	0.4120776798
304	0.4118159406
305	0.4115483632
306	0.4112180605
307	0.410898128
308	0.4107396204
309	0.4105319998
310	0.4102390092
311	0.4100235165
312	0.4097710385
313	0.4095154747
314	0.4092948006
315	0.4090190121
316	0.4087142492
317	0.4084514719
318	0.4082551319
319	0.4079060383
320	0.4075224622
321	0.4072747909
322	0.406848092
323	0.4066199826
324	0.4063790159
325	0.4060244079
326	0.4057178625
327	0.405418138
328	0.4051145758
329	0.4048174538
330	0.4045682921
331	0.4042880624
332	0.4039270838
333	0.4036657044
334	0.4032186435
335	0.4027822405
336	0.402583202
337	0.4022661806
338	0.4019316781
339	0.4015029189
340	0.4012411016
341	0.4008922809
342	0.4006599926
343	0.4001943644
344	0.3997190525
345	0.399317317
346	0.3991572808
347	0.3989317166
348	0.3987206349
349	0.3983820835
350	0.3982109471
351	0.397786279
352	0.3976102243
353	0.3973041539
354	0.3970134582
355	0.3966850031
356	0.396421113
357	0.3960949617
358	0.3956614812
359	0.3952847244
360	0.3950533726
361	0.3947917804
362	0.3945907269
363	0.3943686271
364	0.3940499285
365	0.3937798675
366	0.3934177281
367	0.3931778907
368	0.3929174413
369	0.3927766389
370	0.3924574782
371	0.392306472
372	0.3919367486
373	0.3915772647
374	0.3914002571
375	0.390949506
376	0.3906894098
377	0.3903298397
378	0.390017959
379	0.3897199769
380	0.3894613461
381	0.3890727563
382	0.3887052019
383	0.3885253076
384	0.3882146195
385	0.3880064033
386	0.387748517
387	0.3873502756
388	0.38700918
389	0.3867474601
390	0.386547772
391	0.3862678834
392	0.3859996419
393	0.3856252323
394	0.3853295513
395	0.3849799951
396	0.3847530524
397	0.3843052348
398	0.3840064916
399	0.3836923612
400	0.3833841993
401	0.3831065996
402	0.3828858195
403	0.3825720986
404	0.3822705034
405	0.3820166741
406	0.381550573
407	0.3811532264
408	0.3808588838
409	0.3806035887
410	0.3801136331
411	0.3798429356
412	0.3795597263
413	0.3792244116
414	0.3789612512
415	0.378793822
416	0.3785176407
417	0.378355921
418	0.3780582785
419	0.3777921547
420	0.3773458807
421	0.3769966148
422	0.3764983858
423	0.376238695
424	0.3759962812
425	0.3756785657
426	0.3753941743
427	0.3751153268
428	0.3748775354
429	0.3745903188
430	0.3742322388
431	0.373864414
432	0.3734072147
433	0.3730029686
434	0.3728193003
435	0.3724769474
436	0.3722468192
437	0.3719744842
438	0.371757047
439	0.3714479558
440	0.3712079923
441	0.3708525685
442	0.3706042797
443	0.370371878
444	0.3700858007
445	0.3697926796
446	0.3694938507
447	0.3691049447
448	0.3689210812
449	0.3685497816
450	0.36816709
451	0.3678460365
452	0.367610003
453	0.3672731606
454	0.3671329495
455	0.3668026959
456	0.3665866493
457	0.366332707
458	0.3659511627
459	0.36569848
460	0.3655067618
461	0.3652372014
462	0.3650075899
463	0.3648063166
464	0.3646757334
465	0.364301075
466	0.3639302042
467	0.3635523371
468	0.3630359279
469	0.3628965662
470	0.3625714729
471	0.362347856
472	0.362135272
473	0.3618648953
474	0.3616181409
475	0.361390282
476	0.3611784973
477	0.3608331231
478	0.36048813
479	0.3603572463
480	0.3601289152
481	0.3598592669
482	0.3595491631
483	0.3592073069
484	0.3589029322
485	0.358660295
486	0.3584224993
487	0.3581865165
488	0.3580664272
489	0.3578844978
490	0.3576801931
491	0.3574208034
492	0.3569976634
493	0.3567897086
494	0.3565380454
495	0.3563901732
496	0.3561656739
497	0.3557936929
498	0.3555430026
499	0.3553610776
500	0.3549968837
501	0.3547445955
502	0.3544795324
503	0.3543502999
504	0.3541553293
505	0.353830875
506	0.353502366
507	0.3532639574
508	0.3530503546
509	0.3527614338
510	0.3525206032
511	0.3522034507
512	0.3519972389
513	0.3517538635
514	0.3515285148
515	0.3513217557
516	0.3511278921
517	0.3508888909
518	0.3506603575
519	0.3504634247
520	0.3502333708
521	0.3499305321
522	0.349762998
523	0.3496007696
524	0.3493290084
525	0.3490683515
526	0.3489137907
527	0.3487214841
528	0.3485519684
529	0.3483505848
530	0.3481706795
531	0.3478989253
532	0.3476415834
533	0.3474187622
534	0.3471948102
535	0.346976821
536	0.3466006242
537	0.3464175544
538	0.3461979896
539	0.3460459495
540	0.345798792
541	0.3454914852
542	0.345282139
543	0.3449872298
544	0.3448083936
545	0.3446157382
546	0.3444495102
547	0.3442310791
548	0.3439183073
549	0.3437784656
550	0.3435585198
