iter	Passed	Remaining
0	4	4576
1	8	4334
2	12	4216
3	16	4073
4	20	4137
5	24	4073
6	29	4129
7	32	4077
8	37	4116
9	41	4122
10	45	4104
11	48	4029
12	53	4036
13	57	4023
14	61	4020
15	64	3980
16	68	3955
17	71	3918
18	76	3953
19	82	4029
20	86	4026
21	90	4010
22	93	3991
23	97	3974
24	101	3974
25	106	3971
26	109	3955
27	115	4024
28	119	4005
29	123	3985
30	127	3980
31	131	3970
32	135	3960
33	139	3954
34	143	3945
35	146	3923
36	150	3905
37	154	3900
38	158	3896
39	161	3885
40	166	3889
41	170	3889
42	174	3883
43	178	3883
44	182	3873
45	186	3871
46	190	3868
47	195	3869
48	198	3858
49	202	3850
50	206	3838
51	211	3863
52	215	3855
53	220	3854
54	224	3852
55	227	3842
56	232	3846
57	236	3845
58	240	3843
59	244	3833
60	248	3827
61	252	3819
62	256	3814
63	260	3807
64	264	3798
65	268	3794
66	271	3787
67	275	3781
68	279	3773
69	283	3766
70	288	3780
71	293	3783
72	297	3779
73	303	3792
74	307	3798
75	316	3843
76	322	3864
77	328	3887
78	333	3887
79	337	3885
80	342	3888
81	350	3921
82	356	3936
83	360	3928
84	364	3922
85	368	3912
86	371	3902
87	375	3895
88	379	3884
89	383	3880
90	387	3871
91	391	3866
92	395	3857
93	402	3881
94	408	3889
95	415	3914
96	421	3924
97	426	3926
98	432	3932
99	436	3926
100	440	3918
101	445	3922
102	452	3939
103	459	3954
104	463	3950
105	467	3939
106	470	3928
107	474	3920
108	478	3911
109	483	3915
110	487	3903
111	491	3895
112	494	3883
113	499	3879
114	502	3868
115	507	3868
116	514	3882
117	519	3886
118	526	3897
119	531	3899
120	537	3903
121	541	3894
122	544	3885
123	550	3892
124	555	3889
125	560	3890
126	565	3884
127	568	3875
128	573	3869
129	579	3875
130	582	3865
131	586	3855
132	590	3848
133	594	3839
134	600	3849
135	605	3844
136	608	3834
137	612	3826
138	616	3816
139	620	3811
140	624	3802
141	630	3809
142	637	3818
143	641	3810
144	644	3802
145	648	3794
146	652	3785
147	656	3778
148	659	3769
149	665	3768
150	668	3760
151	681	3800
152	693	3838
153	701	3851
154	706	3851
155	713	3858
156	720	3866
157	726	3873
158	772	4086
159	780	4100
160	784	4090
161	789	4085
162	794	4079
163	801	4083
164	807	4084
165	811	4076
166	815	4068
167	819	4060
168	829	4076
169	834	4076
170	839	4071
171	845	4071
172	851	4071
173	857	4070
174	862	4064
175	865	4054
176	869	4043
177	874	4038
178	878	4028
179	883	4024
180	887	4014
181	892	4011
182	897	4008
183	901	3999
184	905	3988
185	909	3979
186	913	3971
187	917	3960
188	923	3962
189	927	3954
190	932	3948
191	936	3940
192	940	3930
193	943	3920
194	947	3912
195	951	3902
196	956	3897
197	963	3903
198	967	3895
199	971	3885
200	975	3879
201	979	3869
202	983	3860
203	987	3851
204	990	3841
205	994	3834
206	998	3826
207	1002	3816
208	1005	3807
209	1009	3799
210	1013	3791
211	1017	3783
212	1021	3774
213	1025	3767
214	1029	3759
215	1034	3754
216	1039	3750
217	1047	3756
218	1052	3751
219	1058	3753
220	1063	3748
221	1067	3741
222	1072	3735
223	1076	3730
224	1080	3722
225	1086	3721
226	1091	3717
227	1095	3710
228	1099	3702
229	1105	3699
230	1109	3692
231	1112	3683
232	1118	3680
233	1124	3681
234	1129	3675
235	1135	3675
236	1140	3672
237	1145	3667
238	1149	3660
239	1154	3654
240	1157	3646
241	1161	3638
242	1167	3635
243	1170	3627
244	1174	3620
245	1178	3613
246	1182	3605
247	1186	3597
248	1190	3591
249	1194	3583
250	1198	3577
251	1202	3569
252	1206	3562
253	1210	3554
254	1214	3546
255	1217	3538
256	1221	3532
257	1226	3527
258	1230	3519
259	1234	3513
260	1238	3505
261	1242	3499
262	1245	3491
263	1250	3484
264	1255	3481
265	1262	3482
266	1268	3482
267	1273	3477
268	1276	3469
269	1280	3462
270	1284	3454
271	1288	3448
272	1292	3441
273	1296	3434
274	1300	3427
275	1304	3420
276	1308	3414
277	1311	3406
278	1315	3400
279	1319	3393
280	1324	3388
281	1329	3384
282	1334	3381
283	1338	3375
284	1342	3368
285	1346	3362
286	1350	3355
287	1354	3349
288	1358	3342
289	1362	3335
290	1368	3333
291	1372	3328
292	1376	3321
293	1380	3314
294	1384	3308
295	1388	3302
296	1392	3295
297	1396	3288
298	1402	3287
299	1409	3288
300	1414	3284
301	1420	3283
302	1426	3282
303	1430	3275
304	1434	3269
305	1438	3262
306	1442	3255
307	1446	3249
308	1450	3244
309	1456	3242
310	1460	3235
311	1465	3232
312	1469	3225
313	1473	3219
314	1477	3212
315	1480	3205
316	1486	3202
317	1489	3195
318	1493	3189
319	1497	3182
320	1501	3176
321	1505	3170
322	1509	3164
